,From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5,Date,year,month,day,hour,minute
104,04-02-2019 16:00,562.11,191.57,151.27,0.34,4.57,16.45,236.07,19.62,19.01,63.58,77.06,235.56,2019-04-02 16:00:00,2019,4,2,16,0
105,05-02-2019 00:00,884.79,490.9,132.67,0.3,5.23,30.57,472.48,108.97,20.81,90.12,184.46,535.66,2019-05-02 00:00:00,2019,5,2,0,0
106,05-02-2019 08:00,618.83,210.67,146.19,1.18,1.95,16.46,255.11,43.05,65.11,108.15,128.53,384.5,2019-05-02 08:00:00,2019,5,2,8,0
107,05-02-2019 16:00,671.44,308.96,134.22,0.4,3.77,15.68,323.26,17.99,27.74,61.53,73.84,280.78,2019-05-02 16:00:00,2019,5,2,16,0
108,06-02-2019 00:00,366.34,82.43,106.64,0.32,1.38,11.12,123.92,15.1,11.5,84.79,63.63,248.03,2019-06-02 00:00:00,2019,6,2,0,0
109,06-02-2019 08:00,239.69,39.12,81.73,2.04,1.41,7.92,75.35,33.44,14.24,80.01,49.28,167.06,2019-06-02 08:00:00,2019,6,2,8,0
110,06-02-2019 16:00,170.5,8.43,75.56,2.45,0.98,5.82,47.04,28.83,8.01,76.23,33.22,140.81,2019-06-02 16:00:00,2019,6,2,16,0
111,07-02-2019 00:00,213.0,3.48,40.42,2.93,0.61,3.61,24.33,33.14,5.56,54.52,28.02,90.97,2019-07-02 00:00:00,2019,7,2,0,0
112,07-02-2019 08:00,213.0,17.78,62.86,3.87,0.79,2.92,47.93,25.02,6.1,40.97,24.78,56.34,2019-07-02 08:00:00,2019,7,2,8,0
113,07-02-2019 16:00,213.0,129,99.91,1.15,0.97,5.25,158.48,13.97,8.39,35.6,48.51,65.19,2019-07-02 16:00:00,2019,7,2,16,0
114,08-02-2019 00:00,213.0,166,75.49,0.3,1.41,4.96,197.28,13.97,11.34,34.63,35.95,101.75,2019-08-02 00:00:00,2019,8,2,0,0
115,08-02-2019 08:00,213.0,176.55,121.21,1.13,1.44,6.7,213.02,29.73,14.57,36.13,38.26,119.91,2019-08-02 08:00:00,2019,8,2,8,0
116,08-02-2019 16:00,213.0,132.31,100.34,1.19,1.18,6.14,161.26,21.41,11.81,33.37,44,69,2019-08-02 16:00:00,2019,8,2,16,0
117,09-02-2019 00:00,213.0,83.13,70.4,1.37,0.74,3.94,105.17,20.95,10.17,34.42,31.19,79.97,2019-09-02 00:00:00,2019,9,2,0,0
118,09-02-2019 08:00,213.0,112.7,96.22,1.89,0.88,3.94,143.02,36.78,14.56,28.19,33.86,63.19,2019-09-02 08:00:00,2019,9,2,8,0
119,09-02-2019 16:00,213.0,243.54,136.3,0.62,2.33,8.22,271.08,18.77,19.08,30.16,49.75,95.41,2019-09-02 16:00:00,2019,9,2,16,0
120,10-02-2019 00:00,213.0,214.28,112.91,0.31,1.44,7.51,250.91,11.93,14.41,41.41,50.48,128.91,2019-10-02 00:00:00,2019,10,2,0,0
